name,affiliation,home_page,google_profile,keywords,most_cited_paper,cited_by,most_cited_year
Thomas Kollar,"Postdoctoral Fellow, CMU",Thomas Kollar,Thomas Kollar,Thomas Kollar,Thomas Kollar,Thomas Kollar,Thomas Kollar
Ruslan Salakhutdinov,"UPMC Professor, Machine Learning Department, CMU",Ruslan Salakhutdinov,Ruslan Salakhutdinov,Ruslan Salakhutdinov,Ruslan Salakhutdinov,Ruslan Salakhutdinov,Ruslan Salakhutdinov
Mriganka Sur,"Newton Professor of Neuroscience, MIT",Mriganka Sur,Mriganka Sur,Mriganka Sur,Mriganka Sur,Mriganka Sur,Mriganka Sur
robert desimone,massachusetts institute of technology,robert desimone,robert desimone,robert desimone,robert desimone,robert desimone,robert desimone
Jeffrey Mark Siskind,Purdue University,Jeffrey Mark Siskind,Jeffrey Mark Siskind,Jeffrey Mark Siskind,Jeffrey Mark Siskind,Jeffrey Mark Siskind,Jeffrey Mark Siskind
Georgia Gregoriou,University of Crete,Georgia Gregoriou,Georgia Gregoriou,Georgia Gregoriou,Georgia Gregoriou,Georgia Gregoriou,Georgia Gregoriou
Roberto Brunelli,"formerly ITC-irst, now PAT",Roberto Brunelli,Roberto Brunelli,Roberto Brunelli,Roberto Brunelli,Roberto Brunelli,Roberto Brunelli
Raffaello Camoriano,"Postdoctoral Researcher (LCSL - IIT@MIT), Istituto Italiano di Tecnologia",Raffaello Camoriano,Raffaello Camoriano,Raffaello Camoriano,Raffaello Camoriano,Raffaello Camoriano,Raffaello Camoriano
Thomas M. Talavage,"Professor and Head, Biomedical Engineering, University of Cincinnati",Thomas M. Talavage,Thomas M. Talavage,Thomas M. Talavage,Thomas M. Talavage,Thomas M. Talavage,Thomas M. Talavage
Max Kleiman-Weiner,Harvard & MIT,Max Kleiman-Weiner,Max Kleiman-Weiner,Max Kleiman-Weiner,Max Kleiman-Weiner,Max Kleiman-Weiner,Max Kleiman-Weiner
Ryan M. Rifkin,"MIT, Google",Ryan M. Rifkin,Ryan M. Rifkin,Ryan M. Rifkin,Ryan M. Rifkin,Ryan M. Rifkin,Ryan M. Rifkin
Barak A. Pearlmutter,"Prof Comp Science, Maynooth University",Barak A. Pearlmutter,Barak A. Pearlmutter,Barak A. Pearlmutter,Barak A. Pearlmutter,Barak A. Pearlmutter,Barak A. Pearlmutter
Samuel Gershman,"Professor, Harvard University",Samuel Gershman,Samuel Gershman,Samuel Gershman,Samuel Gershman,Samuel Gershman,Samuel Gershman
"Stephen José Hanson, SJ Hanson, Stephen J. Hanson","Director RUBIC (Rutgers Brain Imaging Center), Professor of Psychology, Cognitive Science Center","Stephen José Hanson, SJ Hanson, Stephen J. Hanson","Stephen José Hanson, SJ Hanson, Stephen J. Hanson","Stephen José Hanson, SJ Hanson, Stephen J. Hanson","Stephen José Hanson, SJ Hanson, Stephen J. Hanson","Stephen José Hanson, SJ Hanson, Stephen J. Hanson","Stephen José Hanson, SJ Hanson, Stephen J. Hanson"
Jonathan P. How,"Richard C. Maclaurin Professor of Aerospace Engineering, Massachusetts Institute of Technology",Jonathan P. How,Jonathan P. How,Jonathan P. How,Jonathan P. How,Jonathan P. How,Jonathan P. How
Hualou Liang,"Professor of Biomedical Engineering, Drexel University",Hualou Liang,Hualou Liang,Hualou Liang,Hualou Liang,Hualou Liang,Hualou Liang
Giulio Tononi,University of Wisconsin,Giulio Tononi,Giulio Tononi,Giulio Tononi,Giulio Tononi,Giulio Tononi,Giulio Tononi
Andrew I. Su,"Professor, The Scripps Research Institute",Andrew I. Su,Andrew I. Su,Andrew I. Su,Andrew I. Su,Andrew I. Su,Andrew I. Su
Joseph R. Madsen,"Department of Neurosurgery, Boston Children's Hospital",Joseph R. Madsen,Joseph R. Madsen,Joseph R. Madsen,Joseph R. Madsen,Joseph R. Madsen,Joseph R. Madsen
Matthew A. Wilson,MIT,Matthew A. Wilson,Matthew A. Wilson,Matthew A. Wilson,Matthew A. Wilson,Matthew A. Wilson,Matthew A. Wilson
Andrei Barbu,"MIT, CSAIL",Andrei Barbu,Andrei Barbu,Andrei Barbu,Andrei Barbu,Andrei Barbu,Andrei Barbu
C. Lawrence Zitnick,Facebook AI Research,C. Lawrence Zitnick,C. Lawrence Zitnick,C. Lawrence Zitnick,C. Lawrence Zitnick,C. Lawrence Zitnick,C. Lawrence Zitnick
Daniel Baldauf,Prof.  CIMeC University of Trento / MIT,Daniel Baldauf,Daniel Baldauf,Daniel Baldauf,Daniel Baldauf,Daniel Baldauf,Daniel Baldauf
Stanley Bileschi,--,Stanley Bileschi,Stanley Bileschi,Stanley Bileschi,Stanley Bileschi,Stanley Bileschi,Stanley Bileschi
Mario E. Munich,Embodied Inc,Mario E. Munich,Mario E. Munich,Mario E. Munich,Mario E. Munich,Mario E. Munich,Mario E. Munich
Brenden Lake,"Assistant Professor of Psychology and Data Science, New York University",Brenden Lake,Brenden Lake,Brenden Lake,Brenden Lake,Brenden Lake,Brenden Lake
Bernd Heisele,Unknown affiliation,Bernd Heisele,Bernd Heisele,Bernd Heisele,Bernd Heisele,Bernd Heisele,Bernd Heisele
David Beymer,"Research Staff Member, IBM Research",David Beymer,David Beymer,David Beymer,David Beymer,David Beymer,David Beymer
